trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.31, 'e': 0.995}",20,0,-91.13072597044207,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.31, 'e': 0.990025}",25,0,-83.62162036039946,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.31, 'e': 0.985074875}",25,0,-135.57759197067966,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.31, 'e': 0.980149500625}",20,0,-148.5526252920017,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.31, 'e': 0.975248753121875}",25,0,-19.69789210912507,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.31, 'e': 0.9703725093562656}",30,0,-85.65545210133705,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.31, 'e': 0.9655206468094842}",25,0,-266.05420276316715,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 6}",0
8,False,"{'a': 0.31, 'e': 0.9606930435754368}",20,0,-71.68169270221176,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.31, 'e': 0.9558895783575596}",20,0,-158.10313295093724,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.31, 'e': 0.9511101304657719}",25,0,-100.8934360643681,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.31, 'e': 0.946354579813443}",20,0,-184.67221806923376,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.31, 'e': 0.9416228069143757}",25,8,-64.313075970838,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 0}",1
13,False,"{'a': 0.31, 'e': 0.9369146928798039}",20,0,-30.709612034132032,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.31, 'e': 0.9322301194154049}",25,0,-154.1492625138116,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.31, 'e': 0.9275689688183278}",20,0,-48.19392624305445,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.31, 'e': 0.9229311239742362}",35,0,-196.31638521744372,"{0: 23, 1: 0, 2: 8, 3: 1, 4: 3}",0
17,False,"{'a': 0.31, 'e': 0.918316468354365}",25,0,-104.87707172133409,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.31, 'e': 0.9137248860125932}",25,0,-137.1477320560853,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.31, 'e': 0.9091562615825302}",25,0,-49.606167903250245,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.31, 'e': 0.9046104802746175}",30,0,-139.50328997109852,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.31, 'e': 0.9000874278732445}",20,0,-64.40729031978483,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
22,False,"{'a': 0.31, 'e': 0.8955869907338783}",25,0,-128.59240880448198,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.31, 'e': 0.8911090557802088}",20,0,-73.59676567408016,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.31, 'e': 0.8866535105013078}",35,9,-178.8972497641037,"{0: 13, 1: 2, 2: 6, 3: 4, 4: 1}",1
25,False,"{'a': 0.31, 'e': 0.8822202429488012}",20,0,-87.49395386760784,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.31, 'e': 0.8778091417340572}",20,10,-34.37810933912548,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.31, 'e': 0.873420096025387}",25,0,-149.6575471155627,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
28,False,"{'a': 0.31, 'e': 0.86905299554526}",25,0,-124.04277111223445,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
29,False,"{'a': 0.31, 'e': 0.8647077305675337}",20,0,-29.800918176904304,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.31, 'e': 0.8603841919146961}",30,0,-49.94528103601863,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.31, 'e': 0.8560822709551226}",30,8,-97.42623541232392,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
32,False,"{'a': 0.31, 'e': 0.8518018596003469}",25,0,-117.29583998027648,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
33,False,"{'a': 0.31, 'e': 0.8475428503023452}",20,0,-74.21198495844007,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.31, 'e': 0.8433051360508335}",25,0,-54.434008460051444,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.31, 'e': 0.8390886103705792}",20,0,-112.01024372090797,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
36,False,"{'a': 0.31, 'e': 0.8348931673187264}",20,0,-71.41780024285352,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.31, 'e': 0.8307187014821328}",20,0,-55.85764048198178,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
38,False,"{'a': 0.31, 'e': 0.826565107974722}",20,0,-93.09979541862958,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 0}",0
39,False,"{'a': 0.31, 'e': 0.8224322824348484}",20,0,-47.55285729248319,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.31, 'e': 0.8183201210226743}",20,0,-6.037410511944905,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 0.31, 'e': 0.8142285204175609}",30,2,-70.85381149295384,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 1}",1
42,False,"{'a': 0.31, 'e': 0.810157377815473}",30,0,-106.29524781564099,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
43,False,"{'a': 0.31, 'e': 0.8061065909263957}",20,0,-57.50972802084773,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.31, 'e': 0.8020760579717637}",20,1,-12.33194477633733,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.31, 'e': 0.7980656776819048}",20,0,-38.2693035999061,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.31, 'e': 0.7940753492934953}",20,0,-107.4399267000104,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
47,False,"{'a': 0.31, 'e': 0.7901049725470278}",25,0,-127.90603802823959,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.31, 'e': 0.7861544476842928}",25,0,-36.82472631460996,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.31, 'e': 0.7822236754458712}",30,6,-34.31090751531297,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.31, 'e': 0.7783125570686419}",25,0,-178.3873588221776,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
51,False,"{'a': 0.31, 'e': 0.7744209942832987}",25,0,-18.1889570507308,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.31, 'e': 0.7705488893118821}",35,7,-25.15521684354341,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 0}",1
53,False,"{'a': 0.31, 'e': 0.7666961448653228}",30,10,14.43862472582965,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.31, 'e': 0.7628626641409961}",25,0,-0.03746602517581188,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.31, 'e': 0.7590483508202912}",25,0,-105.18253930767682,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
