trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.52344965214306,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,6,-88.41376147653489,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,5,-96.5719738373566,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.87702642282476,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.3005582149548,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-197.76118986602782,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.04908384221324,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.93515389697596,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.6057250396153,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.589142137569354,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.48865994472527,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,12,-29.78351777421141,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.96699240745244,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.81991369811408,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.07918824857344,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.21061362164029,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.7282597087332,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
